raw time,,adjusted time,, trigger
1738540686.087,,4.625,,0.486275
1738540686.092,,4.630000114,,0.470588
1738540686.098,,4.636000156,,0.447059
1738540686.107,,4.645000219,,0.447059
1738540686.112,,4.650000095,,0.435294
1738540686.119,,4.657000065,,0.415686
1738540686.126,,4.664000034,,0.415686
1738540686.133,,4.671000004,,0.403922
1738540686.140,,4.678000212,,0.396078
1738540686.147,,4.685000181,,0.396078
1738540686.154,,4.692000151,,0.384314
1738540686.161,,4.69900012,,0.368627
1738540686.168,,4.70600009,,0.356863
1738540686.174,,4.712000132,,0.356863
1738540686.181,,4.719000101,,0.345098
1738540686.189,,4.726999998,,0.333333
1738540686.196,,4.734000206,,0.333333
1738540686.203,,4.741000175,,0.329412
1738540686.210,,4.748000145,,0.333333
1738540686.217,,4.755000114,,0.333333
1738540686.224,,4.762000084,,0.321569
1738540686.230,,4.768000126,,0.313726
1738540686.237,,4.775000095,,0.301961
1738540686.247,,4.785000086,,0.301961
1738540686.252,,4.7900002,,0.282353
1738540686.258,,4.796000004,,0.254902
1738540686.267,,4.805000067,,0.254902
1738540686.272,,4.810000181,,0.231373
1738540686.279,,4.817000151,,0.207843
1738540686.287,,4.825000048,,0.207843
1738540686.293,,4.83100009,,0.192157
1738540686.300,,4.838000059,,0.184314
1738540686.307,,4.845000029,,0.184314
1738540686.314,,4.851999998,,0.192157
1738540686.321,,4.859000206,,0.176471
1738540686.328,,4.866000175,,0.172549
1738540686.335,,4.873000145,,0.172549
1738540686.342,,4.880000114,,0.164706
1738540686.349,,4.887000084,,0.156863
1738540686.355,,4.893000126,,0.156863
1738540686.362,,4.900000095,,0.145098
1738540686.369,,4.907000065,,0.133333
1738540686.376,,4.914000034,,0.133333
1738540686.383,,4.921000004,,0.133333
1738540686.390,,4.928000212,,0.113725
1738540686.397,,4.935000181,,0.109804
1738540686.405,,4.943000078,,0.109804
1738540686.411,,4.94900012,,0.101961
1738540686.418,,4.95600009,,0.090196
